name,path,path_num,d18o_pdb,age_orig,age_edited,delta_days
SPL A4 Path K 15A,K,15,-5.16988,1967.790753,1967.790753,0.00
SPL A4 Path K 16A,K,16,-5.01088,1967.840753,1967.840753,0.00
SPL A4 Path K 17A,K,17,-4.94199,1967.890753,1967.890753,0.00
SPL A4 Path K 18A,K,18,-4.97561,1967.976023,1967.976023,0.00
SPL A4 Path K 19A,K,19,-5.05442,1968.026023,1968.026023,0.00
SPL A4 Path K 20A,K,20,-5.17905,1968.076023,1968.076023,0.00
SPL A4 Path K 21A,K,21,-5.23609,1968.251183,1968.251183,0.00
SPL A4 Path K 22A,K,22,-5.03737,1968.460044,1968.460044,0.00
SPL A4 Path K 23A,K,23,-4.93719,1968.641000,1968.641000,0.00
SPL A4 Path K 24A,K,24,-4.90758,1968.864268,1968.864268,0.00
SPL A4 Path K 25A,K,25,-5.04206,1968.979013,1968.979013,0.00
SPL A4 Path K 26A,K,26,-5.01627,1969.143919,1969.143919,0.00
SPL A4 Path K 27A,K,27,-5.08659,1969.193919,1969.193919,0.00
SPL A4 Path K 28A,K,28,-5.08064,1969.439733,1969.439733,0.00
SPL A4 Path K 29A,K,29,-4.91732,1969.588018,1969.588018,0.00
SPL A4 Path K 30A,K,30,-4.67303,1969.733835,1969.733835,0.00
SPL A4 Path K 31A,K,31,-4.82685,1969.792616,1969.792616,0.00
SPL A4 Path K 32A,K,32,-5.01946,1969.948563,1969.948563,0.00
SPL A4 Path K 33A,K,33,-5.28145,1970.046725,1970.046725,0.00
SPL A4 Path K 34A,K,34,-4.93740,1970.496969,1970.496969,0.00
SPL A4 Path K 35A,K,35,-4.82974,1970.600573,1970.600573,0.00
SPL A4 Path K 36A,K,36,-4.90262,1970.688775,1970.688775,0.00
SPL A4 Path K 37A,K,37,-5.06349,1970.759329,1970.759329,0.00
SPL A4 Path K 38A,K,38,-4.76689,1970.917742,1970.917742,0.00
SPL A4 Path K 39A,K,39,-5.07849,1970.967742,1970.967742,0.00
SPL A4 Path K 40A,K,40,-4.91771,1971.057965,1971.057965,0.00
SPL A4 Path K 41A,K,41,-4.95004,1971.142219,1971.142219,0.00
SPL A4 Path K 42A,K,42,-4.99759,1971.235438,1971.235438,0.00
SPL A4 Path K 43A,K,43,-5.23682,1971.314825,1971.314825,0.00
SPL A4 Path K 44A,K,44,-5.09487,1971.408905,1971.408905,0.00
SPL A4 Path K 45A,K,45,-5.01217,1971.479068,1971.479068,0.00
SPL A4 Path K 46A,K,46,-4.89173,1971.536490,1971.536490,0.00
SPL A4 Path K 47A,K,47,-4.87830,1971.671100,1971.671100,0.00
SPL A4 Path K 48A,K,48,-5.02219,1971.806574,1971.806574,0.00
SPL A4 Path K 49A,K,49,-5.04038,1972.079495,1972.079495,0.00
SPL A4 Path K 50A,K,50,-5.05431,1972.325370,1972.325370,0.00
SPL A4 Path K 51A,K,51,-5.23225,1972.390064,1972.390064,0.00
SPL A4 Path K 52A,K,52,-5.05937,1972.440064,1972.440064,0.00
SPL A4 Path K 53A,K,53,-4.87966,1972.490064,1972.490064,0.00
SPL A4 Path K 54A,K,54,-4.79937,1972.540064,1972.540064,0.00
SPL A4 Path K 55A,K,55,-4.97190,1972.597014,1972.597014,0.00
