,Identifier 1,d13c,d18o,ref_H,ref_age,age_lin,age_absolute,path,idx,d13c_ma,d18o_ma,depth
117,E- 9A,-1.7275580631612182,25.36721086713898,,,67.47619047619044,1996.1951904761904,E,9,-1.808560657178214,25.377025639559978,-108.0
118,E- 10A,-1.8867244573675541,25.43820891848091,,,67.61904761904759,1996.3380476190478,E,10,-1.9848624528777001,25.42795222436975,-108.0
119,E- 11A,-2.3403048381043274,25.478436887489366,,,67.76190476190473,1996.4809047619049,E,11,-2.162149444270476,25.489112959648576,-108.0
120,E- 12A,-2.2594190373395464,25.55069307297545,,,67.90476190476187,1996.623761904762,E,12,-2.1744135407610226,25.50893876678658,-108.0
121,E- 13A,-1.9235167468391943,25.497686339894926,,,68.04761904761901,1996.766619047619,E,13,-2.0741423409848463,25.470871174892853,-108.0
122,E- 14A,-2.039491238775799,25.364234111808184,,,68.19047619047616,1996.9094761904762,E,14,-1.9180946821578548,25.439926876619253,-108.0
123,E- 15A,-1.791276060858571,25.457860178154647,,68.3333333333333,68.3333333333333,1997.0523333333333,E,15,-1.9958726151520565,25.38413534069001,-108.0
124,E- 16A,-2.156850545821799,25.330311732107194,,,68.49999999999997,1997.219,E,16,-2.0964116142750675,25.40364271888323,-108.0
125,E- 17A,-2.341108236144832,25.422756246387845,,,68.66666666666663,1997.3856666666666,E,17,-2.4663419978326506,25.40763294353647,-108.0
126,E- 18A,-2.901067211531321,25.469830852114367,,,68.8333333333333,1997.5523333333333,E,18,-2.57235451506862,25.490272299596427,-108.0
127,E- 19A,-2.4748880975297065,25.578229800287076,,,68.99999999999997,1997.719,E,19,-2.5324145099275985,25.50510899982129,-108.0
128,E- 20A,-2.221288220721767,25.467266347062434,,,69.16666666666663,1997.8856666666666,E,20,-2.268538168604904,25.470238461055146,-108.0
129,E- 21A,-2.109438187563239,25.36521923581592,,69.3333333333333,69.3333333333333,1998.0523333333333,E,21,-2.2587595344891627,25.374525118668732,-108.0
130,E- 22A,-2.4455521951824823,25.291089773127847,,,69.49999999999997,1998.219,E,22,-2.3502603056565055,25.304708785154688,-108.0
131,E- 23A,-2.495790534223796,25.257817346520298,,,69.66666666666663,1998.3856666666666,E,23,-2.7635735125612477,25.35485645397719,-108.0
132,E- 24A,-3.3493778082774646,25.515662242283423,,,69.8333333333333,1998.5523333333333,E,24,-2.9522590155316926,25.410271046949408,-108.0
133,E- 25A,-3.0116087040938173,25.45733355204451,,,69.99999999999997,1998.719,E,25,-2.8592958130614954,25.54962821740996,-108.0
134,E- 26A,-2.2169009268132043,25.675888857901953,,,70.16666666666663,1998.8856666666666,E,26,-2.3817663084723555,25.537990062171346,-108.0
135,E- 27A,-1.9167892945100453,25.480747776567576,,70.3333333333333,70.3333333333333,1999.0523333333333,E,27,-2.071383041702782,25.48994094120984,-108.0
136,E- 28A,-2.0804589037850962,25.313186189160003,,,70.5333333333333,1999.2523333333334,E,28,-2.0851765193328915,25.392212926572046,-108.0
137,E- 29A,-2.258281359703532,25.382704813988557,,,70.7333333333333,1999.4523333333334,E,29,-2.213547061997323,25.31212249392904,-108.0
138,E- 30A,-2.3019009225033407,25.240476478638556,,,70.9333333333333,1999.6523333333334,E,30,-2.50716751183595,25.405602523888017,-108.0
139,E- 31A,-2.961320253300978,25.593626279036947,,,71.1333333333333,1999.8523333333333,E,31,-2.6100940306868776,25.522250290165545,-108.0
140,E- 32A,-2.5670609162563154,25.732648112821128,,71.3333333333333,71.3333333333333,2000.0523333333333,E,32,,,-108.0
